185.76,6,ZBOX-PI320-W2,2783524,"ZOTAC ZBOX PICO ATOM Z3735F 2G EMMC 32G WIN8 ZBOX-PI320-W2  w/ OS-Win 8.1 Intel Atom Z3735F (quad-core, 1.33 GHz)2GB (integrated)32G...",ZOTAC
2161.82,10,MK472CI/A,3071294,"APPLE IMAC 27""/3.2QC/8GB/1TB FD/M390-CHL",APPLE
721.05,16,JG926A,2771056,HPE HP 1920-24G-POE+ (370W) SWITCH (10/100/1000 POE+),HPE
538.63,8,MGEM2CI/A,2780220,APPLE MAC MINI/1.4GHZ/4GB/500GB-CHL,APPLE
174.43,68,L8L91A,3030270,HP DJ UIA 4729,HP
38.33,28,DEM-311GT,1074524,D-LINK DEM-311GT 1000BASESX TO MINI-GBIC MODULE,D-LINK
951.27,8,V11H506020,3011832,EPSON Proyector PowerLite 1930 XGA - 4200 lumenes - RJ45 - 3000:1 Contraste,EPSON
253.55,3,B11B198021,2088529,"EPSON Escaner Epson V600P, Escaner Fotografico, Resolucion 6400X9600 DPI Adaptador Negativos y Diapo",EPSON
851.80,1,V11H561020,2678054,"EPSON PowerLite Home Cinema 2030, Proyector 3D Nativo",EPSON
1187.67,8,MJVP2CI/A,2901324,APPLE MBAir 11.6/1.6GHz/4GB/256GB,APPLE
213.53,17,652753-B21,1903361,HPE HP 1TB 6G SAS 7.2K 3.5INCH HS SC MDL HDD,HPE
80.29,5,MLA02LZ/A,3071346,APPLE MAGIC MOUSE 2-LAE,APPLE
142.90,16,DES-1210-28,1183488,D-LINK 24-Port 10/100Mbps + 2x 1000BaseT & 2x 1000BaseT / SFP WebSmart Switch,D-LINK
1580.37,3,CZ256A,2682320,HP Clr LJ Ent M651dn Prntr:US Gov/LA,
1104.49,2,V11H476020,2088578,"EPSON Proyector Epson 1776W 3000 Lumenes/WXGA(1280X800), 2000:1 Contraste, Wireless, HDMI",EPSON
687.88,6,P73-06176,2557665,MICROSOFT Windows Svr Std 2012 R2 x64 Spanish 1pk DSP OEI DVD 2CPU/2VM,MICROSOFT
1627.54,3,CISCO2911/K9,1035056,"Cisco 2911 w/3 GE,4 EHWIC,2 DSP,1 SM,256MB CF,512MB DRAM,IPB",
869.02,4,V11H672020,2958291,EPSON Proyector de Tiro Corto 525W 2800 lumenes Resolucion WXGA,EPSON
22.73,2,779861-B21,2838789,HPE HP ML150 G9 PCI BAFFLE KIT,HPE
441.69,5,793669-B21,2956243,HPE HP 4TB 12G SAS 7.2K RPM LFF (3.5-INCH) SC 512E PERFORMANCE 1YR WARRANTY,HPE
121.30,14,B11B206201,2088531,"EPSON Escaner Epson WorkForce DS-30, Escaner Portatil, Resolucion Hasta 600DPI",EPSON
1365.60,2,V11H473020,2344200,"EPSON Proyector Epson PowerLite 1960, 5000 Lumenes",EPSON
508.51,6,765424-B21,2734133,HPE HP 600GB 12G SAS 15K 3.5INCH HS SC ENT HDD,HPE
452.54,84,K7X61AA,3029853,HP SLATE8 2G16G ANDR,
115.08,3,PTD-600VP,2955114,BROTHER PTD-600VP ROTULADORA,BROTHER
585.29,5,765455-B21,2951777,HPE 2TB 6G SATA 7.2k 2.5in 512e SC HDD,HPE
1918.72,4,V11H665520,2834340,EPSON Proyector Interactivo BrightLink 1430Wi 3300 lumenes Touch,EPSON
7.46,26,K72355,1790602,KENSINGTON Pro Fit USB/PS2 Wired Mid Size Mouse,KENSINGTON
579.60,22,JG925A,2771055,HPE HP 1920-24G-POE+ (180W) SWITCH (10/100/1000 POE+),HPE
762.90,9,A8P79A,2397076,HP LASERJET PRO MONO MFP M521DN,
955.27,2,JG928A,2877732,HPE HP 1920-48G-POE+ (370W) SWITCH (10/100/1000 POE+),HPE
64.48,438,A5S2BK2CL,2940222,Karbonn LA DUAL SIM 2G 3G ANDROID 4.4 KITKAT 4IN WVGA IPS 1GHZ DC BLACK,Karbonn
202.13,35,46W0796,2762747,LENOVO 16GB TruDDR4 Memory (2Rx4 1.2V) PC4-17000 CL15 2133MHz LP RDIMM,LENOVO
5256.50,1,7845V_T,2995186,XEROX MULT. COLOR 7845V_TW,XEROX
143.40,2,726907-B21,2738071,HPE HP H240 PCIe SAS 12GB HBA -SINGLE PORT INTERNAL(1),HPE
64.74,2068,VA1903A,3017226,"VIEWSONIC VA1903A LED 18.5IN 1366x768, VGA, VESA, 5ms, 200 nits, CR 600:1",VIEWSONIC
115.08,2,QL-710W,2066826,BROTHER BRO QL-710W PROFESSIONAL LABEL PRINTER,BROTHER
161.32,3,V12H675020,2887330,EPSON Ultra Short Throw Setting Plate 1430wi,EPSON
126.87,6,615732-B21,1996146,HPE ETHERNET 1GB 2P 332T ADPTR.,HPE
506.13,35,PT-LB280U,3029872,PANASONIC PROYECTOR XGA PT-LB280U,PANASONIC
37.97,25,D1G64KL110,2908017,KINGSTON 8GB DDR3-1600MHz Low Voltage,KINGSTON
71.30,10,DHP-W311AV,2868302,D-LINK DHP-W311AV POWERLINE AV500 WIRELESS N300 MINI STARTER KIT,D-LINK
992.25,6,V11H477020,2088579,"EPSON Proyector Epson 1771W 3000 Lumenes/WXGA(1280X800), 2000:1 Contraste, Wireless Opc, HDMI",EPSON
